% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.122000E+001 -0.329660E-002  0.514076E-003  0.333644E-002
 -0.500000E+001 -0.500000E+001  0.124000E+001 -0.309677E-002 -0.188205E-003  0.310248E-002
 -0.500000E+001 -0.500000E+001  0.126000E+001 -0.277481E-002 -0.771772E-003  0.288014E-002
 -0.500000E+001 -0.500000E+001  0.128000E+001 -0.237054E-002 -0.122673E-002  0.266914E-002
 -0.500000E+001 -0.500000E+001  0.130000E+001 -0.192006E-002 -0.155243E-002  0.246914E-002
 -0.500000E+001 -0.500000E+001  0.132000E+001 -0.145465E-002 -0.175532E-002  0.227973E-002
 -0.500000E+001 -0.500000E+001  0.134000E+001 -0.100021E-002 -0.184706E-002  0.210048E-002
 -0.500000E+001 -0.500000E+001  0.136000E+001  0.155925E-001 -0.339840E-002  0.159585E-001
 -0.500000E+001 -0.500000E+001  0.138000E+001  0.215620E-002  0.621500E-002  0.657840E-002
 -0.500000E+001 -0.500000E+001  0.140000E+001 -0.350983E-002  0.347261E-002  0.493740E-002
 -0.500000E+001 -0.500000E+001  0.142000E+001 -0.467893E-002 -0.293176E-003  0.468811E-002
 -0.500000E+001 -0.500000E+001  0.144000E+001 -0.355523E-002 -0.300546E-002  0.465537E-002
 -0.500000E+001 -0.500000E+001  0.146000E+001 -0.155217E-002 -0.430680E-002  0.457797E-002
 -0.500000E+001 -0.500000E+001  0.148000E+001  0.484878E-003 -0.439770E-002  0.442435E-002
 -0.500000E+001 -0.500000E+001  0.150000E+001  0.210662E-002 -0.364649E-002  0.421126E-002
 -0.500000E+001 -0.500000E+001  0.152000E+001  0.312948E-002 -0.242869E-002  0.396133E-002
 -0.500000E+001 -0.500000E+001  0.154000E+001  0.353844E-002 -0.106035E-002  0.369390E-002
 -0.500000E+001 -0.500000E+001  0.156000E+001  0.341647E-002  0.224211E-003  0.342382E-002
 -0.500000E+001 -0.500000E+001  0.158000E+001  0.289457E-002  0.127273E-002  0.316202E-002
 -0.500000E+001 -0.500000E+001  0.160000E+001  0.211790E-002  0.200484E-002  0.291631E-002
 -0.500000E+001 -0.500000E+001  0.162000E+001  0.122403E-002  0.239779E-002  0.269215E-002
 -0.500000E+001 -0.500000E+001  0.164000E+001  0.330242E-003  0.247144E-002  0.249340E-002
 -0.500000E+001 -0.500000E+001  0.166000E+001 -0.472658E-003  0.227306E-002  0.232168E-002
 -0.500000E+001 -0.500000E+001  0.168000E+001 -0.112192E-002  0.186649E-002  0.217772E-002
 -0.500000E+001 -0.500000E+001  0.170000E+001 -0.158143E-002  0.132152E-002  0.206091E-002
 -0.500000E+001 -0.500000E+001  0.172000E+001 -0.183839E-002  0.706592E-003  0.196950E-002
 -0.500000E+001 -0.500000E+001  0.174000E+001 -0.189905E-002  0.834339E-004  0.190089E-002
 -0.500000E+001 -0.500000E+001  0.176000E+001 -0.178409E-002 -0.496263E-003  0.185182E-002
 -0.500000E+001 -0.500000E+001  0.178000E+001 -0.152398E-002 -0.992639E-003  0.181875E-002
 -0.500000E+001 -0.500000E+001  0.180000E+001 -0.115495E-002 -0.137833E-002  0.179825E-002
 -0.500000E+001 -0.500000E+001  0.182000E+001 -0.591503E-002 -0.942748E-002  0.111295E-001
 -0.500000E+001 -0.500000E+001  0.184000E+001  0.360392E-002 -0.667592E-002  0.758657E-002
 -0.500000E+001 -0.500000E+001  0.186000E+001  0.519769E-002 -0.162024E-002  0.544437E-002
 -0.500000E+001 -0.500000E+001  0.188000E+001  0.358637E-002  0.142126E-002  0.385772E-002
 -0.500000E+001 -0.500000E+001  0.190000E+001  0.132640E-002  0.229393E-002  0.264980E-002
 -0.500000E+001 -0.500000E+001  0.192000E+001 -0.392393E-003  0.173814E-002  0.178188E-002
 -0.500000E+001 -0.500000E+001  0.194000E+001 -0.119223E-002  0.555053E-003  0.131510E-002
 -0.500000E+001 -0.500000E+001  0.196000E+001 -0.113381E-002 -0.647031E-003  0.130544E-002
 -0.500000E+001 -0.500000E+001  0.198000E+001 -0.474893E-003 -0.150087E-002  0.157421E-002
