% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.122000E+001 -0.330483E-002  0.514226E-003  0.334459E-002
 -0.500000E+001 -0.500000E+001  0.124000E+001 -0.311098E-002 -0.188115E-003  0.311666E-002
 -0.500000E+001 -0.500000E+001  0.126000E+001 -0.280102E-002 -0.771717E-003  0.290538E-002
 -0.500000E+001 -0.500000E+001  0.128000E+001 -0.242332E-002 -0.122670E-002  0.271611E-002
 -0.500000E+001 -0.500000E+001  0.130000E+001 -0.204130E-002 -0.155241E-002  0.256454E-002
 -0.500000E+001 -0.500000E+001  0.132000E+001 -0.180484E-002 -0.175531E-002  0.251765E-002
 -0.500000E+001 -0.500000E+001  0.134000E+001 -0.279158E-002 -0.184705E-002  0.334731E-002
 -0.500000E+001 -0.500000E+001  0.136000E+001  0.155902E-001 -0.339839E-002  0.159563E-001
 -0.500000E+001 -0.500000E+001  0.138000E+001  0.215594E-002  0.621500E-002  0.657832E-002
 -0.500000E+001 -0.500000E+001  0.140000E+001 -0.350992E-002  0.347261E-002  0.493746E-002
 -0.500000E+001 -0.500000E+001  0.142000E+001 -0.467894E-002 -0.293178E-003  0.468811E-002
 -0.500000E+001 -0.500000E+001  0.144000E+001 -0.355525E-002 -0.300546E-002  0.465539E-002
 -0.500000E+001 -0.500000E+001  0.146000E+001 -0.155216E-002 -0.430680E-002  0.457796E-002
 -0.500000E+001 -0.500000E+001  0.148000E+001  0.484902E-003 -0.439770E-002  0.442435E-002
 -0.500000E+001 -0.500000E+001  0.150000E+001  0.210667E-002 -0.364649E-002  0.421129E-002
 -0.500000E+001 -0.500000E+001  0.152000E+001  0.312955E-002 -0.242869E-002  0.396139E-002
 -0.500000E+001 -0.500000E+001  0.154000E+001  0.353855E-002 -0.106035E-002  0.369400E-002
 -0.500000E+001 -0.500000E+001  0.156000E+001  0.341663E-002  0.224215E-003  0.342398E-002
 -0.500000E+001 -0.500000E+001  0.158000E+001  0.289482E-002  0.127274E-002  0.316226E-002
 -0.500000E+001 -0.500000E+001  0.160000E+001  0.211830E-002  0.200492E-002  0.291666E-002
 -0.500000E+001 -0.500000E+001  0.162000E+001  0.122468E-002  0.239798E-002  0.269261E-002
 -0.500000E+001 -0.500000E+001  0.164000E+001  0.331325E-003  0.247145E-002  0.249356E-002
 -0.500000E+001 -0.500000E+001  0.166000E+001 -0.470773E-003  0.227306E-002  0.232130E-002
 -0.500000E+001 -0.500000E+001  0.168000E+001 -0.111848E-002  0.186649E-002  0.217596E-002
 -0.500000E+001 -0.500000E+001  0.170000E+001 -0.157476E-002  0.132153E-002  0.205580E-002
 -0.500000E+001 -0.500000E+001  0.172000E+001 -0.182439E-002  0.706595E-003  0.195644E-002
 -0.500000E+001 -0.500000E+001  0.174000E+001 -0.186609E-002  0.834352E-004  0.186795E-002
 -0.500000E+001 -0.500000E+001  0.176000E+001 -0.169101E-002 -0.496266E-003  0.176233E-002
 -0.500000E+001 -0.500000E+001  0.178000E+001 -0.114931E-002 -0.992662E-003  0.151864E-002
 -0.500000E+001 -0.500000E+001  0.180000E+001  0.499005E-002 -0.137841E-002  0.517693E-002
 -0.500000E+001 -0.500000E+001  0.182000E+001 -0.591459E-002 -0.942749E-002  0.111292E-001
 -0.500000E+001 -0.500000E+001  0.184000E+001  0.360406E-002 -0.667593E-002  0.758665E-002
 -0.500000E+001 -0.500000E+001  0.186000E+001  0.519775E-002 -0.162026E-002  0.544443E-002
 -0.500000E+001 -0.500000E+001  0.188000E+001  0.358640E-002  0.142123E-002  0.385774E-002
 -0.500000E+001 -0.500000E+001  0.190000E+001  0.132641E-002  0.229389E-002  0.264977E-002
 -0.500000E+001 -0.500000E+001  0.192000E+001 -0.392391E-003  0.173808E-002  0.178182E-002
 -0.500000E+001 -0.500000E+001  0.194000E+001 -0.119223E-002  0.554967E-003  0.131507E-002
 -0.500000E+001 -0.500000E+001  0.196000E+001 -0.113381E-002 -0.647154E-003  0.130550E-002
 -0.500000E+001 -0.500000E+001  0.198000E+001 -0.474872E-003 -0.150105E-002  0.157437E-002
 -0.500000E+001 -0.500000E+001  0.200000E+001  0.477158E-003 -0.185033E-002  0.191086E-002
 -0.500000E+001 -0.500000E+001  0.202000E+001  0.144724E-002 -0.169375E-002  0.222785E-002
 -0.500000E+001 -0.500000E+001  0.204000E+001  0.223109E-002 -0.112767E-002  0.249988E-002
 -0.500000E+001 -0.500000E+001  0.206000E+001  0.270570E-002 -0.296798E-003  0.272193E-002
 -0.500000E+001 -0.500000E+001  0.208000E+001  0.282331E-002  0.643177E-003  0.289565E-002
 -0.500000E+001 -0.500000E+001  0.210000E+001  0.259702E-002  0.155113E-002  0.302498E-002
 -0.500000E+001 -0.500000E+001  0.212000E+001  0.208292E-002  0.231549E-002  0.311449E-002
 -0.500000E+001 -0.500000E+001  0.214000E+001  0.136254E-002  0.286093E-002  0.316882E-002
 -0.500000E+001 -0.500000E+001  0.216000E+001  0.527112E-003  0.314877E-002  0.319259E-002
 -0.500000E+001 -0.500000E+001  0.218000E+001 -0.335628E-003  0.317331E-002  0.319101E-002
 -0.500000E+001 -0.500000E+001  0.220000E+001 -0.115466E-002  0.295556E-002  0.317310E-002
 -0.500000E+001 -0.500000E+001  0.222000E+001 -0.190761E-002  0.253602E-002  0.317338E-002
 -0.500000E+001 -0.500000E+001  0.224000E+001 -0.295695E-002  0.196717E-002  0.355152E-002
 -0.500000E+001 -0.500000E+001  0.226000E+001  0.117809E-001  0.252463E-002  0.120483E-001
 -0.500000E+001 -0.500000E+001  0.228000E+001 -0.554644E-002  0.674030E-002  0.872895E-002
 -0.500000E+001 -0.500000E+001  0.230000E+001 -0.777138E-002 -0.292979E-003  0.777690E-002
 -0.500000E+001 -0.500000E+001  0.232000E+001 -0.482493E-002 -0.415867E-002  0.636981E-002
 -0.500000E+001 -0.500000E+001  0.234000E+001 -0.138686E-002 -0.468620E-002  0.488711E-002
 -0.500000E+001 -0.500000E+001  0.236000E+001  0.813956E-003 -0.340548E-002  0.350140E-002
 -0.500000E+001 -0.500000E+001  0.238000E+001  0.154853E-002 -0.167668E-002  0.228237E-002
